#---------------------------- KTU 1.103 1
#---------------------------- KTU 1.103 34
152470	ymy	ymy(I)/	ym (I)	n.	day	
152471	bʿlhn	bˤlhn(II)/	bʕl (II)	n., DN	lord; owner of (or resident in) a place, owner of thing, boss of a place or thing; person of superior rank	
152472	bhmt	bhmt/	bhmt	n.	cattle	
152473	ib	ib(I)/;ib(II)/	ỉb (I);ỉb (II)	n.;n., DN	enemy;fruit	
152474	tḫlq	tḫlq[	/ḫ-l-q/	vb	to perish, to be lost	
#---------------------------- KTU 1.103 35
152475	w	w	w	conj.	and	
152476	in	in/	ỉn	n.	lack of, absence	
152477	udn	udn(I)/	ủdn (I)	n.	ear	
152478	ymn	ymn(I)/	ymn (I)	n.	right (side)	
152479	bh	bh[;bh	/n-q-b/;b	vb;prep.	to pierce;in; through, on; by, at; within, inside, in, to, against, between, upon; from; with, in; of, from among	
152480	ibn	ibn(I)/	ỉb (I)	n.	enemy	
152481	yšdd	yšdd(II)[	/š-d-d/ (II)	vb	to devastate	
152482	ḥwt	ḥwt/;ḥwt(I)[	ḥwt;/ḥ-w/y-y/ (I)	n.;vb	country, land, territory;to live, be alive	
#---------------------------- KTU 1.103 36
152483	hyt	hyt				DULAT: NOT FOUND
152484	wyḥslnn	wyḥslnn				DULAT: NOT FOUND
#---------------------------- KTU 1.103 37
152485	w	w	w	conj.	and	
152486	in	in/	ỉn	n.	lack of, absence	
152487	udn	udn(I)/	ủdn (I)	n.	ear	
152488	šmal	šmal/	šmảl	adj. or n.	left	
152489	bh	bh[;bh	/n-q-b/;b	vb;prep.	to pierce;in; through, on; by, at; within, inside, in, to, against, between, upon; from; with, in; of, from among	
152490	mlkn	mlkn(I)	mlk (I)		king, sovereign	
152491	yšdd	yšdd(II)[	/š-d-d/ (II)	vb	to devastate	
152492	ḥwt	ḥwt/;ḥwt(I)[	ḥwt;/ḥ-w/y-y/ (I)	n.;vb	country, land, territory;to live, be alive	
152493	ibh	ibh(I)/	ỉb (I)	n.	enemy	
#---------------------------- KTU 1.103 38
152494	w	w	w	conj.	and	
152495	yḥslnn	yḥslnn[	/ḥ-s-l/	vb	to wipe out, destroy	
#---------------------------- KTU 1.103 39
152496	w	w	w	conj.	and	
152497	qṣrt	qṣrt/	qṣrt	n.	shortness	
152498	pʿnh	pˤnh/	pʕn	n.	foot	
152499	bʿln	bˤln(II)/	bʕl (II)	n., DN	lord; owner of (or resident in) a place, owner of thing, boss of a place or thing; person of superior rank	
152500	yġtrḫrd	yġtrḫrd				DULAT: NOT FOUND
